title	types	title	types	title	types	title	types	title	tyoes	title	types	title	types	title	types	title	types	title	types	title	types	title	types	title	types	title	types
三傻大闹宝莱坞	剧情	罗马假日	喜剧	枪火	动作	怦然心动	爱情	复仇者联盟4：终局之战	科幻	熊猫的故事	动画	消失的爱人	悬疑	浪潮	惊悚	X圣治	恐怖	从纳粹手中救出的孩子们	纪录片	红柿子	家庭	纵横四海	犯罪	西岳奇童	奇幻	伴你高飞	冒险
海上钢琴师	剧情	雨中曲	喜剧	东邪西毒：终极版	动作	大话西游之月光宝盒	爱情	超能陆战队	科幻	三国志：英雄的黎明	动画	致命ID	悬疑	2001太空漫游	惊悚	迷宫物语	恐怖	俄国人生七年2	纪录片	克拉姆一家	家庭	荒蛮故事	犯罪	岁城璃心-鬼蜮咒原	奇幻	古剑奇谭2：永夜初晗	冒险
星际穿越	剧情	大独裁者	喜剧	精英部队2：大敌当前	动作	罗马假日	爱情	蜘蛛侠：平行宇宙	科幻	三国志：辽阔的大地	动画	哈利·波特与死亡圣器(下)	悬疑	末路狂花	惊悚	鬼婆	恐怖	里赫特：谜	纪录片	做我的情人吧，查理·布朗	家庭	教父3	犯罪	古剑奇谭2：永夜初晗	奇幻	布达佩斯大饭店	冒险
楚门的世界	剧情	将军号	喜剧	椿三十郎	动作	音乐之声	爱情	疯狂的麦克斯4：狂暴之路	科幻	辛普森一家：家庭治疗	动画	恐怖直播	悬疑	千钧一发	惊悚	黑巷少女	恐怖	艾维奇的真实故事	纪录片	大鱼	家庭	罗生门	犯罪	本杰明·巴顿奇事	奇幻	大鱼	冒险
无间道	剧情	西力传	喜剧	铁达尼号沉没记	动作	一一	爱情	人工智能	科幻	阿曼动画之超级无敌掌门狗系列2	动画	杀人回忆	悬疑	洛城机密	惊悚	来临	恐怖	秋日长夜的海女演奏会～大友良英和伙伴们的大音乐会	纪录片	7号房的礼物	家庭	牯岭街少年杀人事件	犯罪	大鱼	奇幻	玩具总动员3	冒险
触不可及	剧情	欢乐树的朋友们：第一滴血	喜剧	我的英雄学院 第2季：英雄笔记	动作	雨中曲	爱情	穿越时空的少女	科幻	飞翔的梦	动画	电锯惊魂	悬疑	精英部队2：大敌当前	惊悚	奥拉克之手	恐怖	俄国人生七年3	纪录片	房间	家庭	恐怖分子	犯罪	玩具总动员3	奇幻	风之谷	冒险
活着	剧情	流浪者之歌	喜剧	复仇者联盟4：终局之战	动作	我爱你	爱情	黑客帝国3：矩阵革命	科幻	幽灵公主	动画	心迷宫	悬疑	共同警备区	惊悚	我是传奇	恐怖	权志龙	纪录片	步履不停	家庭	无间道(正序版)	犯罪	萤火之森	奇幻	海洋之歌	冒险
指环王3：王者无敌	剧情	木更津猫眼 世界系列	喜剧	超能陆战队	动作	莫娣	爱情	终结者2：审判日	科幻	玛丽和马克思	动画	绿里奇迹	悬疑	电话谋杀案	惊悚	生化危机	恐怖	大卫·鲍伊：最后五年	纪录片	跳出我天地	家庭	神探夏洛克：最后的誓言	犯罪	风之谷	奇幻	坠入	冒险
天堂电影院	剧情	小不列颠：现场版	喜剧	东邪西毒	动作	卡比利亚之夜	爱情	回到未来	科幻	红辣椒	动画	洛城机密	悬疑	情枭的黎明	惊悚	异形2	恐怖	三十二	纪录片	奇迹	家庭	卡里加里博士的小屋	犯罪	玩具总动员4	奇幻	黄色潜水艇	冒险
鬼子来了	剧情	日本之形	喜剧	蜘蛛侠：平行宇宙	动作	婚姻生活	爱情	钢铁巨人	科幻	未麻的部屋	动画	蓝白红三部曲之红	悬疑	椿三十郎	惊悚	罗斯玛丽的婴儿	恐怖	地球	纪录片	永远的三丁目的夕阳	家庭	十二怒汉	犯罪	坠入	奇幻	陆上行舟	冒险
末代皇帝	剧情	绿皮书	喜剧	被解救的姜戈	动作	情书	爱情	人狼	科幻	攻壳机动队	动画	斯隆女士	悬疑	恐惧的代价	惊悚	暗夜恐惧	恐怖	德国，一个夏天的童话	纪录片	童年往事	家庭	消失的爱人	犯罪	迷墙	奇幻	苦儿流浪记	冒险
辩护人	剧情	玛丽和马克思	喜剧	疯狂的麦克斯4：狂暴之路	动作	春光乍泄	爱情	霹雳五号	科幻	东京教父	动画	电话谋杀案	悬疑	玩家马布斯博士	惊悚	狼屋	恐怖	共犯者们	纪录片	金色池塘	家庭	三块广告牌	犯罪	回忆三部曲	奇幻	头号玩家	冒险
素媛	剧情	喜宴	喜剧	谍影重重	动作	喜宴	爱情	落叶	科幻	艾特熊和赛娜鼠	动画	潜行者	悬疑	断魂枪声	惊悚	昭和歌谣大全集	恐怖	平衡	纪录片	鲁冰花	家庭	小偷家族	犯罪	黄色潜水艇	奇幻	阿凡达	冒险
教父2	剧情	虎口脱险	喜剧	黑客帝国3：矩阵革命	动作	佛兰德斯的狗	爱情	神秘博士：博士之时	科幻	心理游戏	动画	古畑任三郎 VS SMAP	悬疑	记忆碎片	惊悚	科学怪人	恐怖	被遗忘的时光	纪录片	麦秋	家庭	蝙蝠侠：黑暗骑士崛起	犯罪	月球漫步	奇幻	疯狂原始人	冒险
小鞋子	剧情	东京教父	喜剧	谍影重重2	动作	歌厅	爱情	世界旦夕之间	科幻	幻想曲	动画	丁丁历险记之太阳神的囚徒	悬疑	网络谜踪	惊悚	夜的第三章	恐怖	摇滚本事	纪录片	七次机会	家庭	恐怖直播	犯罪	天鹅湖	奇幻	加勒比海盗	冒险
摩登时代	剧情	心理游戏	喜剧	终结者2：审判日	动作	哭泣的草原	爱情	彗星来的那一夜	科幻	佛兰德斯的狗	动画	行骗天下 剧场版	悬疑	谍影重重	惊悚	修女乔安娜	恐怖	猫咪物语3	纪录片	秋天里的春光	家庭	杀人回忆	犯罪	金玫瑰洞	奇幻	驯龙高手	冒险
七武士	剧情	玉女风流	喜剧	勇闯夺命岛	动作	本杰明·巴顿奇事	爱情	这个男人来自地球	科幻	幻想曲2000	动画	巴斯克维尔的猎犬	悬疑	谍影重重2	惊悚	万能钥匙	恐怖	绝不折中：绝命毒师最终季制作记录	纪录片	儿子	家庭	英雄本色	犯罪	乱马1/2合集	奇幻	哈利·波特与死亡圣器(下)	冒险
东京物语	剧情	魔法阿妈	喜剧	黑鹰坠落	动作	阳光灿烂的日子	爱情	发条橙	科幻	魔法阿妈	动画	玩家马布斯博士	悬疑	血钻	惊悚	迷雾	恐怖	蒙古草原，天气晴	纪录片	断背山	家庭	心迷宫	犯罪	通烟囱工人与牧羊女	奇幻	头脑特工队	冒险
生活多美好	剧情	我出生了，但……	喜剧	恶童	动作	爱在黎明破晓前	爱情	E.T. 外星人	科幻	可玛猫	动画	伯特伦旅馆之谜	悬疑	非常嫌疑犯	惊悚	解除好友2：暗网	恐怖	银魂剧场版 银幕前夜祭2013	纪录片	小偷家族	家庭	大佛普拉斯	犯罪	剪刀手爱德华	奇幻	借东西的小人阿莉埃蒂	冒险
超感猎杀：完结特别篇	剧情	阿曼动画之超级无敌掌门狗系列1	喜剧	宾虚	动作	请以你的名字呼唤我	爱情	黑客帝国2：重装上阵	科幻	阿曼动画之超级无敌掌门狗系列1	动画	记忆碎片	悬疑	迷魂记	惊悚	回魂夜	恐怖	听?见 林俊杰	纪录片	岁月神偷	家庭	可可西里	犯罪	加勒比海盗	奇幻	无敌破坏王	冒险
洞	剧情	阿德曼动画精选：超级无敌掌门狗	喜剧	敲开天堂的门	动作	甜蜜蜜	爱情	月球	科幻	阿德曼动画精选：超级无敌掌门狗	动画	网络谜踪	悬疑	亚当斯一家的价值观	惊悚	电锯惊魂3	恐怖	酷玩乐队：满脑子的梦想	纪录片	海街日记	家庭	绿里奇迹	犯罪	驯龙高手	奇幻	2001太空漫游	冒险
南海十三郎	剧情	让子弹飞	喜剧	西线无战事	动作	爱在日落黄昏时	爱情	K星异客	科幻	西岳奇童	动画	谍影重重	悬疑	杀手	惊悚	潜伏2	恐怖	集体回忆 - 张国荣	纪录片	一次别离	家庭	新世界	犯罪	哈利·波特与死亡圣器(下)	奇幻	南极大冒险	冒险
哀乐中年	剧情	布达佩斯大饭店	喜剧	大菩萨岭	动作	萤火之森	爱情	机器管家	科幻	反叛的鲁路修特别篇：暗黑的背叛	动画	谍影重重2	悬疑	热泪伤痕	惊悚	吸血鬼生活	恐怖	情熱大陸900回記念放送～羽生結弦篇	纪录片	比海更深	家庭	末路狂花	犯罪	倩女幽魂	奇幻	阿拉伯的劳伦斯	冒险
寄生虫	剧情	低俗小说	喜剧	兽兵卫忍风帖	动作	侧耳倾听	爱情	正义联盟：闪点悖论	科幻	岁城璃心-鬼蜮咒原	动画	非常嫌疑犯	悬疑	一级谋杀	惊悚	怪形	恐怖	汉密尔顿的美国	纪录片	我的邻居山田君	家庭	枪火	犯罪	射雕英雄传之东成西就	奇幻	恐惧的代价	冒险
狐妖小红娘剧场版：王权富贵	剧情	阳光姐妹淘	喜剧	碧血金沙	动作	燃情岁月	爱情	飞向太空	科幻	古剑奇谭2：永夜初晗	动画	大卫·戈尔的一生	悬疑	兽兵卫忍风帖	惊悚	着魔	恐怖	星形	纪录片	铁拳男人	家庭	洛城机密	犯罪	借东西的小人阿莉埃蒂	奇幻	她的回忆	冒险
遥望南方的童年	剧情	菊次郎的夏天	喜剧	落叶	动作	爱在午夜降临前	爱情	红线	科幻	玩具总动员3	动画	公民凯恩	悬疑	天国与地狱	惊悚	橡皮头	恐怖	平克·弗洛伊德：愿你在此的故事	纪录片	野草莓	家庭	芝加哥	犯罪	无敌破坏王	奇幻	指环王	冒险
摔跤吧！爸爸	剧情	玩具总动员3	喜剧	滑铁卢战役	动作	魂断蓝桥	爱情	星际5555：异星梦系统秘传	科幻	萤火之森	动画	迷魂记	悬疑	男人的争斗	惊悚	畸形人	恐怖	云南映象	纪录片	东京家族	家庭	盲井	犯罪	时空恋旅人	奇幻	龙子太郎	冒险
蝙蝠侠：黑暗骑士	剧情	7号房的礼物	喜剧	小萝莉的猴神大叔	动作	横道世之介	爱情	源代码	科幻	侧耳倾听	动画	焦土之城	悬疑	死亡之夜	惊悚	无辜的人	恐怖	北极熊：冰上侦探	纪录片	秋刀鱼之味	家庭	四百击	犯罪	绿里奇迹	奇幻	灵犬莱西	冒险
飞越疯人院	剧情	纵横四海	喜剧	新龙门客栈	动作	莫里斯	爱情	火星救援	科幻	风之谷	动画	热泪伤痕	悬疑	叛国作家	惊悚	野花	恐怖	The Work of Director Michel Gondry	纪录片	十月的天空	家庭	精英部队2：大敌当前	犯罪	河童之夏	奇幻	丁丁历险记之太阳神的囚徒	冒险
两杆大烟枪	剧情	荒蛮故事	喜剧	黑客帝国2：重装上阵	动作	同级生	爱情	变脸	科幻	你看起来好像很好吃	动画	啤酒谋杀案	悬疑	逃离索比堡	惊悚	黑猫	恐怖	俄国人生七年4	纪录片	过年	家庭	电话谋杀案	犯罪	开罗紫玫瑰	奇幻	神奇独角马	冒险
窃听风暴	剧情	玩具总动员4	喜剧	角斗士	动作	爱情短片	爱情	蝙蝠侠：侠影之谜	科幻	海洋之歌	动画	世界旦夕之间	悬疑	黑天鹅	惊悚	坏种	恐怖	发现少校	纪录片	伦敦一家人	家庭	骗中骗	犯罪	指环王	奇幻	河狸白毛历险记	冒险
饮食男女	剧情	坠入	喜剧	王牌对王牌	动作	巴里·林登	爱情	守望者	科幻	玩具总动员4	动画	死亡之夜	悬疑	彗星来的那一夜	惊悚	吸血鬼	恐怖	烈焰焚音	纪录片	回归	家庭	情枭的黎明	犯罪	悲伤的贝拉多娜	奇幻	尼伯龙根：西格弗里德之死	冒险
钢琴家	剧情	奇爱博士	喜剧	启示	动作	办公室的故事	爱情	星球大战	科幻	迷墙	动画	十字街头	悬疑	金福南杀人事件始末	惊悚	公民X	恐怖	一点双人秀：十五年后重聚首	纪录片	晚春	家庭	古畑任三郎 VS SMAP	犯罪	龙子太郎	奇幻	尼伯龙根2：克里姆希尔德的复仇	冒险
美国往事	剧情	上帝也疯狂2	喜剧	正义联盟：闪点悖论	动作	邮差	爱情	超时空接触	科幻	黑客帝国动画版	动画	谋杀启事	悬疑	后窗	惊悚	金花鼠：遇见狼人	恐怖	海豚湾	纪录片	天堂的颜色	家庭	巴比龙	犯罪	神奇独角马	奇幻	生来自由	冒险
狩猎	剧情	热情如火	喜剧	杀死比尔整个血腥事件	动作	豹	爱情	回到未来2	科幻	回忆三部曲	动画	彗星来的那一夜	悬疑	王牌对王牌	惊悚	樱之森之满开之下	恐怖	旅行到宇宙边缘	纪录片	樱桃小丸子 真人版2	家庭	圣女贞德蒙难记	犯罪	尼伯龙根：西格弗里德之死	奇幻	绿野仙踪	冒险
无人知晓	剧情	与玛格丽特的午后	喜剧	蜘蛛巢城	动作	夜	爱情	阿基拉	科幻	同级生	动画	月球	悬疑	迫在眉梢	惊悚	侏儒流氓	恐怖	人生七年8	纪录片	天伦之旅	家庭	凡尔杜先生	犯罪	尼伯龙根2：克里姆希尔德的复仇	奇幻	复仇者联盟4：终局之战	冒险
海蒂和爷爷	剧情	办公室的故事	喜剧	侠女	动作	日出	爱情	神秘博士：最后的圣诞	科幻	蝙蝠侠：黑暗骑士归来(下)	动画	登堂入室	悬疑	放大	惊悚	疯狂的一页	恐怖	那天，大海	纪录片	灵犬莱西	家庭	千面佳人	犯罪	绿野仙踪	奇幻	超能陆战队	冒险
完美的世界	剧情	邮差	喜剧	午夜狂奔	动作	安全至下	爱情	如此美好的一天	科幻	攻壳机动队SSS	动画	后窗	悬疑	双重赔偿	惊悚	招魂	恐怖	冲天	纪录片	河狸白毛历险记	家庭	巴斯克维尔的猎犬	犯罪	复仇者联盟4：终局之战	奇幻	怪兽电力公司	冒险
